06-25 23:46:50 Node 0       INFO     0: {'method': 'HELLO', 'args': {'addr': ('localhost', 5002), 'id': 2}, 'keystore': [('ab53', '024_Aveiro.jpg'), ('c45c', '01_Centro.jpg'), ('3bd5', '023_Aveiro.jpg'), ('6222', '01galitos011921.jpg'), ('7b37', '020_Aveiro.jpg'), ('7bb7', '021_Aveiro.jpg'), ('eefe', '01CostaNova1921.jpg'), ('1531', '022_Aveiro.jpg'), ('00c4', '01Travasso_Jan1922.jpg'), ('aadb', '025_Aveiro.jpg')]}
06-25 23:46:50 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:50 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:53 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 2, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=900x583 at 0x7FC6EE2F5040>, 'info': ('7bb7', '021_Aveiro.jpg')}
06-25 23:46:53 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:53 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 2, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=1024x754 at 0x7FC6EE2E0F40>, 'info': ('eefe', '01CostaNova1921.jpg')}
06-25 23:46:53 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:53 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 2, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=RGB size=566x900 at 0x7FC6EE2F5040>, 'info': ('1531', '022_Aveiro.jpg')}
06-25 23:46:53 Node 0       INFO     Node ID: 0; DHT: True; Routing Table Nodes: {1: ('localhost', 5001), 2: ('localhost', 5002)}; backupLocations: {}
06-25 23:46:53 Node 0       INFO     0: {'method': 'SEND_BACKUP', 'id': 2, 'request': <PIL.JpegImagePlugin.JpegImageFile image mode=L size=1024x703 at 0x7FC6EE2E0F40>, 'info': ('00c4', '01Travasso_Jan1922.jpg')}
